Price,Monthly_Income,Savings_Percentage,Discount_Percentage,Mood,Urgency_Level,Research_Time_Minutes,Brand_Familiarity,Purchase_Category,Peer_Influence,Impulsiveness_Score,Regret
122008,1697743,20,23,Stressed,High,2,Low,Clothing,Low,6,0
321929,1771891,29,37,Happy,Low,1,High,Clothing,None,5,0
347499,1312371,24,48,Excited,Low,90,High,Food,Low,3,0
328997,2657991,56,2,Stressed,Low,100,High,Accessories,Low,3,0
256890,2575406,17,3,Stressed,Medium,88,High,Clothing,Low,2,0
417163,73148,1,59,Stressed,Low,70,High,Home,None,8,1
604415,1875928,35,49,Excited,High,103,High,Clothing,None,4,0
208311,3915197,41,3,Stressed,High,53,High,Home,None,2,0
196819,2663505,35,13,Neutral,High,94,Medium,Accessories,Low,8,0
353581,1316736,39,52,Excited,High,23,Medium,Clothing,Low,9,1
926125,2618740,40,28,Stressed,Low,14,Medium,Clothing,None,1,0
264762,3270879,0,7,Neutral,Medium,87,Medium,Home,None,3,0
14036,4785450,32,4,Excited,Medium,105,Medium,Food,None,7,0
707661,1848400,7,11,Neutral,High,33,High,Food,Low,1,1
821704,3752389,23,36,Neutral,High,98,Medium,Food,None,8,1
894548,496234,36,46,Excited,Medium,77,High,Home,High,3,1
623144,902421,38,26,Excited,High,8,High,Clothing,Low,3,1
772888,3272824,51,3,Neutral,Low,93,Medium,Food,Low,5,0
973598,3349014,42,28,Stressed,High,35,Low,Accessories,Low,7,0
380039,48585,41,44,Stressed,Medium,61,Low,Food,None,9,1
881741,4399539,19,29,Stressed,Medium,61,Medium,Accessories,High,7,0
568600,2489413,32,0,Stressed,High,26,High,Home,High,9,1
579354,407690,38,69,Happy,Low,71,Low,Home,Low,9,1
228626,3117754,41,43,Happy,High,23,Low,Home,None,6,0
593178,1501176,48,57,Stressed,Medium,51,Medium,Clothing,None,7,0
416930,4970050,48,1,Stressed,Medium,1,Medium,Clothing,High,6,0
431889,274536,0,18,Happy,Medium,1,Low,Clothing,Low,5,1
235217,686669,31,67,Excited,Medium,54,Low,Home,Low,8,1
811824,1746093,23,68,Excited,Low,115,Low,Electronics,None,2,0
559036,115078,47,15,Excited,Medium,96,Low,Clothing,None,9,1
51713,4029066,19,58,Neutral,Low,35,High,Accessories,High,3,0
751152,4341787,31,51,Excited,Medium,104,Low,Electronics,High,1,0
744024,3450376,10,56,Happy,Low,88,Low,Home,High,2,0
610319,2031793,34,6,Neutral,Low,15,Low,Accessories,High,9,1
373666,691976,47,11,Happy,High,68,Low,Electronics,None,5,1
990248,4897680,40,18,Neutral,Medium,47,Medium,Food,High,3,0
907367,2490367,32,23,Happy,High,115,High,Clothing,Low,1,0
501207,4383727,19,24,Stressed,Medium,92,Medium,Clothing,Low,2,0
643459,2105021,34,60,Stressed,Medium,40,High,Accessories,High,4,0
809810,4679351,19,7,Stressed,High,6,Medium,Home,High,3,1
830546,4306754,50,21,Neutral,Low,109,Medium,Food,None,6,0
729700,1204386,26,20,Neutral,High,29,Low,Accessories,None,1,1
369649,3811688,4,60,Neutral,High,47,Medium,Home,Low,3,0
896098,2732423,16,43,Neutral,Medium,91,Medium,Electronics,None,5,0
688045,2514079,28,45,Happy,Medium,52,Low,Home,None,3,0
